Shape,Nanoparticle,Dissolution,Surface area,Surface charge,Surface coatings,Surface reactivity,Aggregation,Particle size,Administration route,Study type,Cytotoxicity,Neurological effects,Pulmonary effects,Fibrosis,RCNS effects,Immunological effects,Genotoxicity,Inflammation,NM Hazard
Irregular,SiO2,,189 - 2025,-50 to -25,Carbon,Low,High,10 to 50,,In vitro,High,,,,,,,,High
Irregular,SiO2,,189 - 2025,-50 to -25,Carbon,Low,High,10 to 50,,In vitro,High,,,,,,,,High
Irregular,SiO2,,189 - 2025,-50 to -25,Carbon,Low,High,10 to 50,,In vitro,High,,,,,,,,High
Irregular,SiO2,,189 - 2025,-50 to -25,Carbon,Low,High,10 to 50,,In vitro,Low,,,,,,,,Low
Irregular,SiO2,,189 - 2025,-50 to -25,Carbon,Low,High,10 to 50,,In vitro,Low,,,,,,,,Low
Irregular,SiO2,,189 - 2025,-50 to -25,Carbon,Low,High,10 to 50,,In vitro,None,,,,,,,,None
Irregular,SiO2,,189 - 2025,-50 to -25,Carbon,Low,High,10 to 50,,In vitro,None,,,,,,,,None
Irregular,SiO2,,189 - 2025,-50 to -25,Carbon,Low,High,10 to 50,,In vitro,None,,,,,,,,None
Irregular,SiO2,,189 - 2025,-50 to -25,Carbon,Low,High,10 to 50,,In vitro,None,,,,,,,,None
Irregular,SiO2,,189 - 2025,-50 to -25,Carbon,Low,High,10 to 50,,In vitro,High,,,,,,,,High
Irregular,SiO2,,189 - 2025,-50 to -25,Carbon,Low,High,10 to 50,,In vitro,High,,,,,,,,High
Irregular,SiO2,,189 - 2025,-50 to -25,Carbon,Low,High,10 to 50,,In vitro,High,,,,,,,,High
Irregular,SiO2,,189 - 2025,-50 to -25,Carbon,Low,High,10 to 50,,In vitro,High,,,,,,,,High
Irregular,SiO2,,189 - 2025,-50 to -25,Carbon,Low,High,10 to 50,,In vitro,High,,,,,,,,High
Irregular,SiO2,,189 - 2025,-50 to -25,Carbon,Low,High,10 to 50,,In vitro,,,,,,,,None,None
Sphere,TiO2,,,,AHPP,,Low,10 to 50,,In vitro,None,,,,,,,,None
Sphere,TiO2,,,,AHPP,,Low,10 to 50,,In vitro,None,,,,,,,,None
Sphere,TiO2,,,,AHPP,,Low,10 to 50,,In vitro,None,,,,,,,,None
Sphere,TiO2,,,,AHPP,,Low,10 to 50,,In vitro,None,,,,,,,,None
Sphere,TiO2,,,-25 to 0,,,High,10 to 50,,In vitro,None,,,,,,,,None
Sphere,TiO2,,,-25 to 0,,,High,10 to 50,,In vitro,None,,,,,,,,None
Sphere,TiO2,,,-25 to 0,,,High,10 to 50,,In vitro,None,,,,,,,,None
Sphere,TiO2,,,-25 to 0,,,High,10 to 50,,In vitro,None,,,,,,,,None
Sphere,TiO2,,,-25 to 0,,,High,10 to 50,,In vitro,None,,,,,,,,None
Sphere,TiO2,,,-25 to 0,,,High,10 to 50,,In vitro,None,,,,,,,,None
