Shape,Nanoparticle,Dissolution,Surface area,Surface charge,Surface coatings,Surface reactivity,Aggregation,Particle size,Administration route,Study type,Cytotoxicity,Neurological effects,Pulmonary effects,Fibrosis,RCNS effects,Immunological effects,Genotoxicity,Inflammation,NM Hazard
Irregular,TiO2,0 to 25%,51 - 101.25,-50 to -25,Silianes-aluminium,Low,High,10 to 50,,In vitro,None,,,,,,,,None
Irregular,TiO2,0 to 25%,51 - 101.25,-50 to -25,Silianes-aluminium,Low,High,10 to 50,,In vitro,Medium,,,,,,,,Medium
Irregular,TiO2,0 to 25%,51 - 101.25,-50 to -25,Silianes-aluminium,Low,High,10 to 50,,In vitro,High,,,,,,,,High
Irregular,TiO2,0 to 25%,51 - 101.25,-50 to -25,Silianes-aluminium,Low,High,10 to 50,,In vitro,High,,,,,,,,High
Irregular,TiO2,0 to 25%,51 - 101.25,-50 to -25,Silianes-aluminium,Low,High,10 to 50,,In vitro,None,,,,,,,,None
Irregular,TiO2,0 to 25%,51 - 101.25,-50 to -25,Silianes-aluminium,Low,High,10 to 50,,In vitro,None,,,,,,,,None
Irregular,TiO2,0 to 25%,51 - 101.25,-50 to -25,Silianes-aluminium,Low,High,10 to 50,,In vitro,None,,,,,,,,None
Irregular,TiO2,0 to 25%,51 - 101.25,-50 to -25,Silianes-aluminium,Low,High,10 to 50,,In vitro,None,,,,,,,,None
Irregular,TiO2,0 to 25%,51 - 101.25,-50 to -25,Silianes-aluminium,Low,High,10 to 50,,In vitro,None,,,,,,,,None
Irregular,TiO2,0 to 25%,51 - 101.25,-50 to -25,Silianes-aluminium,Low,High,10 to 50,,In vitro,None,,,,,,,,None
Irregular,TiO2,0 to 25%,51 - 101.25,-50 to -25,Silianes-aluminium,Low,High,10 to 50,,In vitro,None,,,,,,,,None
Irregular,TiO2,0 to 25%,51 - 101.25,-50 to -25,Silianes-aluminium,Low,High,10 to 50,,In vitro,None,,,,,,,,None
Irregular,TiO2,0 to 25%,51 - 101.25,-50 to -25,Silianes-aluminium,Low,High,10 to 50,,In vitro,High,,,,,,,,High
Irregular,TiO2,0 to 25%,51 - 101.25,-50 to -25,Silianes-aluminium,Low,High,10 to 50,,In vitro,None,,,,,,,,None
Irregular,TiO2,0 to 25%,51 - 101.25,-50 to -25,Silianes-aluminium,Low,High,10 to 50,,In vitro,None,,,,,,,,None
Irregular,TiO2,0 to 25%,51 - 101.25,-50 to -25,Silianes-aluminium,Low,High,10 to 50,,In vitro,High,,,,,,,,High
Irregular,TiO2,0 to 25%,51 - 101.25,-50 to -25,Silianes-aluminium,Low,High,10 to 50,,In vitro,High,,,,,,,,High
Irregular,TiO2,0 to 25%,51 - 101.25,-50 to -25,Silianes-aluminium,Low,High,10 to 50,,In vitro,None,,,,,,,,None
Irregular,TiO2,0 to 25%,51 - 101.25,-50 to -25,Silianes-aluminium,Low,High,10 to 50,,In vitro,None,,,,,,,,None
Irregular,TiO2,0 to 25%,51 - 101.25,-50 to -25,Silianes-aluminium,Low,High,10 to 50,,In vitro,None,,,,,,,,None
Elongated,ZnO,,0 - 15,0 to 25,None,,Medium,>100,,In vitro,High,,,,,,,,High
Elongated,ZnO,,0 - 15,0 to 25,None,,Medium,>100,,In vitro,High,,,,,,,,High
Elongated,ZnO,,0 - 15,0 to 25,None,,Medium,>100,,In vitro,High,,,,,,,,High
Elongated,ZnO,,0 - 15,0 to 25,None,,Medium,>100,,In vitro,High,,,,,,,,High
Elongated,ZnO,,0 - 15,0 to 25,None,,Medium,>100,,In vitro,High,,,,,,,,High
Elongated,ZnO,,0 - 15,0 to 25,None,,Medium,>100,,In vitro,High,,,,,,,,High
Elongated,ZnO,,0 - 15,0 to 25,None,,Medium,>100,,In vitro,High,,,,,,,,High
Elongated,ZnO,,0 - 15,0 to 25,None,,Medium,>100,,In vitro,High,,,,,,,,High
Elongated,ZnO,,0 - 15,0 to 25,None,,Medium,>100,,In vitro,High,,,,,,,,High
Elongated,ZnO,,0 - 15,0 to 25,None,,Medium,>100,,In vitro,High,,,,,,,,High
Elongated,ZnO,,0 - 15,0 to 25,None,,Medium,>100,,In vitro,Medium,,,,,,,,Medium
Elongated,ZnO,,0 - 15,0 to 25,None,,Medium,>100,,In vitro,High,,,,,,,,High
Elongated,ZnO,,0 - 15,0 to 25,None,,Medium,>100,,In vitro,High,,,,,,,,High
Elongated,ZnO,,0 - 15,0 to 25,None,,Medium,>100,,In vitro,Medium,,,,,,,,Medium
Elongated,ZnO,,0 - 15,0 to 25,None,,Medium,>100,,In vitro,High,,,,,,,,High
Elongated,ZnO,,0 - 15,0 to 25,None,,Medium,>100,,In vitro,High,,,,,,,,High
Elongated,ZnO,,0 - 15,0 to 25,None,,Medium,>100,,In vitro,High,,,,,,,,High
Elongated,ZnO,,0 - 15,0 to 25,None,,Medium,>100,,In vitro,High,,,,,,,,High
Elongated,ZnO,,0 - 15,0 to 25,None,,Medium,>100,,In vitro,High,,,,,,,,High
Elongated,ZnO,,0 - 15,0 to 25,None,,Medium,>100,,In vitro,High,,,,,,,,High
Elongated,ZnO,,0 - 15,0 to 25,None,,Medium,>100,,In vitro,High,,,,,,,,High
Elongated,ZnO,,0 - 15,0 to 25,None,,Medium,>100,,In vitro,,,,,,,,Low,Low
Elongated,ZnO,0 to 25%,15 - 51,,Triethoxycapryl silane,,Medium,>100,,In vitro,Low,,,,,,,,Low
Elongated,ZnO,0 to 25%,15 - 51,,Triethoxycapryl silane,,Medium,>100,,In vitro,High,,,,,,,,High
Elongated,ZnO,0 to 25%,15 - 51,,Triethoxycapryl silane,,Medium,>100,,In vitro,High,,,,,,,,High
Elongated,ZnO,0 to 25%,15 - 51,,Triethoxycapryl silane,,Medium,>100,,In vitro,High,,,,,,,,High
Elongated,ZnO,0 to 25%,15 - 51,,Triethoxycapryl silane,,Medium,>100,,In vitro,High,,,,,,,,High
Elongated,ZnO,0 to 25%,15 - 51,,Triethoxycapryl silane,,Medium,>100,,In vitro,High,,,,,,,,High
Elongated,ZnO,0 to 25%,15 - 51,,Triethoxycapryl silane,,Medium,>100,,In vitro,High,,,,,,,,High
Elongated,ZnO,0 to 25%,15 - 51,,Triethoxycapryl silane,,Medium,>100,,In vitro,High,,,,,,,,High
Elongated,ZnO,0 to 25%,15 - 51,,Triethoxycapryl silane,,Medium,>100,,In vitro,High,,,,,,,,High
Elongated,ZnO,0 to 25%,15 - 51,,Triethoxycapryl silane,,Medium,>100,,In vitro,Medium,,,,,,,,Medium
Elongated,ZnO,0 to 25%,15 - 51,,Triethoxycapryl silane,,Medium,>100,,In vitro,Medium,,,,,,,,Medium
Elongated,ZnO,0 to 25%,15 - 51,,Triethoxycapryl silane,,Medium,>100,,In vitro,High,,,,,,,,High
Elongated,ZnO,0 to 25%,15 - 51,,Triethoxycapryl silane,,Medium,>100,,In vitro,High,,,,,,,,High
Elongated,ZnO,0 to 25%,15 - 51,,Triethoxycapryl silane,,Medium,>100,,In vitro,High,,,,,,,,High
Elongated,ZnO,0 to 25%,15 - 51,,Triethoxycapryl silane,,Medium,>100,,In vitro,High,,,,,,,,High
Elongated,ZnO,0 to 25%,15 - 51,,Triethoxycapryl silane,,Medium,>100,,In vitro,High,,,,,,,,High
Elongated,ZnO,0 to 25%,15 - 51,,Triethoxycapryl silane,,Medium,>100,,In vitro,High,,,,,,,,High
Elongated,ZnO,0 to 25%,15 - 51,,Triethoxycapryl silane,,Medium,>100,,In vitro,High,,,,,,,,High
Elongated,ZnO,0 to 25%,15 - 51,,Triethoxycapryl silane,,Medium,>100,,In vitro,High,,,,,,,,High
Elongated,ZnO,0 to 25%,15 - 51,,Triethoxycapryl silane,,Medium,>100,,In vitro,High,,,,,,,,High
Elongated,ZnO,0 to 25%,15 - 51,,Triethoxycapryl silane,,Medium,>100,,In vitro,,,,,,,,Low,Low
Irregular,SiO2,,189 - 2025,-50 to -25,Carbon,Low,High,10 to 50,,In vitro,High,,,,,,,,High
Irregular,SiO2,,189 - 2025,-50 to -25,Carbon,Low,High,10 to 50,,In vitro,Low,,,,,,,,Low
Irregular,SiO2,,189 - 2025,-50 to -25,Carbon,Low,High,10 to 50,,In vitro,Medium,,,,,,,,Medium
Irregular,SiO2,,189 - 2025,-50 to -25,Carbon,Low,High,10 to 50,,In vitro,Medium,,,,,,,,Medium
Irregular,SiO2,,189 - 2025,-50 to -25,Carbon,Low,High,10 to 50,,In vitro,Low,,,,,,,,Low
Irregular,SiO2,,189 - 2025,-50 to -25,Carbon,Low,High,10 to 50,,In vitro,Low,,,,,,,,Low
Irregular,SiO2,,189 - 2025,-50 to -25,Carbon,Low,High,10 to 50,,In vitro,High,,,,,,,,High
Irregular,SiO2,,189 - 2025,-50 to -25,Carbon,Low,High,10 to 50,,In vitro,High,,,,,,,,High
Irregular,SiO2,,189 - 2025,-50 to -25,Carbon,Low,High,10 to 50,,In vitro,High,,,,,,,,High
Irregular,SiO2,,189 - 2025,-50 to -25,Carbon,Low,High,10 to 50,,In vitro,High,,,,,,,,High
Irregular,SiO2,,189 - 2025,-50 to -25,Carbon,Low,High,10 to 50,,In vitro,High,,,,,,,,High
Irregular,SiO2,,189 - 2025,-50 to -25,Carbon,Low,High,10 to 50,,In vitro,Low,,,,,,,,Low
Irregular,SiO2,,189 - 2025,-50 to -25,Carbon,Low,High,10 to 50,,In vitro,Low,,,,,,,,Low
Irregular,SiO2,,189 - 2025,-50 to -25,Carbon,Low,High,10 to 50,,In vitro,Low,,,,,,,,Low
Irregular,SiO2,,189 - 2025,-50 to -25,Carbon,Low,High,10 to 50,,In vitro,None,,,,,,,,None
Irregular,SiO2,,189 - 2025,-50 to -25,Carbon,Low,High,10 to 50,,In vitro,None,,,,,,,,None
Irregular,SiO2,,189 - 2025,-50 to -25,Carbon,Low,High,10 to 50,,In vitro,None,,,,,,,,None
Irregular,SiO2,,189 - 2025,-50 to -25,Carbon,Low,High,10 to 50,,In vitro,None,,,,,,,,None
Irregular,SiO2,,189 - 2025,-50 to -25,Carbon,Low,High,10 to 50,,In vitro,None,,,,,,,,None
Irregular,SiO2,,189 - 2025,-50 to -25,Carbon,Low,High,10 to 50,,In vitro,,,,,,,,Low,Low
Irregular,SiO2,,189 - 2025,-50 to -25,Carbon,Low,High,10 to 50,,In vitro,High,,,,,,,,High
Irregular,SiO2,,189 - 2025,-50 to -25,Carbon,Low,High,10 to 50,,In vitro,Medium,,,,,,,,Medium
Irregular,SiO2,,189 - 2025,-50 to -25,Carbon,Low,High,10 to 50,,In vitro,Medium,,,,,,,,Medium
Irregular,SiO2,,189 - 2025,-50 to -25,Carbon,Low,High,10 to 50,,In vitro,High,,,,,,,,High
Irregular,SiO2,,189 - 2025,-50 to -25,Carbon,Low,High,10 to 50,,In vitro,Medium,,,,,,,,Medium
Irregular,SiO2,,189 - 2025,-50 to -25,Carbon,Low,High,10 to 50,,In vitro,Medium,,,,,,,,Medium
Irregular,SiO2,,189 - 2025,-50 to -25,Carbon,Low,High,10 to 50,,In vitro,High,,,,,,,,High
Irregular,SiO2,,189 - 2025,-50 to -25,Carbon,Low,High,10 to 50,,In vitro,High,,,,,,,,High
Irregular,SiO2,,189 - 2025,-50 to -25,Carbon,Low,High,10 to 50,,In vitro,High,,,,,,,,High
Irregular,SiO2,,189 - 2025,-50 to -25,Carbon,Low,High,10 to 50,,In vitro,High,,,,,,,,High
